Timestep;total_gen;total_demand;total_cons;PV_cons;tot_SOC;tot_charging;tot_discharging
57.0;1.0818410745139102e-12;-12.124;-0.5175835073967326;0.0007251091163929268;1.841838001160716e-6;1.4300594030698889e-8;1.1541443117605919e-7
58.0;5.95827770944097e-13;-11.285;-0.45833449012902017;0.0009657822247979308;1.7262860951259408e-6;2.0961555038865078e-8;-1.3257320000436879e-8
59.0;4.15310472905855e-13;-10.736;-0.4219975420729845;0.0011601179324683781;1.759709221607448e-6;1.1316991160225556e-7;-1.159590475199975e-6
60.0;4.1882255800015876e-13;-10.754;-0.41812497425581496;0.0012539783105221228;3.1498200324606247e-6;1.2554738839107107e-7;-4.5702338697516717e-7
61.0;5.130442372545342e-13;-11.07;-0.4353439473417915;0.001238903680461685;3.7703014633150827e-6;4.281636828041118e-8;5.978346366112487e-7
62.0;5.066955654117518e-13;-11.037;-0.44825506589154795;0.0011232428901764525;3.14419845727529e-6;4.988570964714674e-8;-4.184545937018705e-7
63.0;5.330488742135324e-13;-11.093;-0.47374582377612234;0.0009296395325964835;3.6537307246696286e-6;5.588848284008098e-8;-1.9550473696129e-7
64.0;8.0235823718744e-13;-11.67;-0.5310645973809428;0.0006800204034215889;3.920892471665779e-6;2.410230595663772e-8;-6.3661362342060766e-9
65.0;1.228513194155232e-12;-12.477;-0.6088447300262693;0.0004377481687071636;3.9492659424842605e-6;1.4073520490427221e-8;1.309746031104311e-7
66.0;1.3023565226042076e-12;-12.654;-0.6610811339991347;0.000239886117423995;3.8160098475420285e-6;1.4915847741738378e-8;-4.987893754606064e-8
67.0;1.4635046214241598e-12;-12.988;-0.7197767223900957;8.97767478056133e-5;3.8844735512426835e-6;1.5610509583885416e-8;2.3331590146283723e-7
68.0;1.5026874660457595e-12;-13.032;-0.7550472686450449;1.57710044949216e-5;3.6388946719987936e-6;1.909197937287645e-8;1.006683890046612e-6
69.0;1.4464259788039852e-12;-12.903;-0.7684980346247006;0.0;2.537175908359835e-6;3.684627486016528e-8;-1.2812558226792774e-6
70.0;1.2017937052334081e-12;-12.254;-0.7383276312260922;0.0;3.993701418897901e-6;1.5095686897575854e-8;1.4402376456588895e-8
71.0;8.237878523324854e-13;-11.546;-0.6943468403872299;0.0;3.990885526456509e-6;3.599627505042821e-9;3.589748260753528e-6
72.0;5.097854007347874e-13;-10.873;-0.6219577443958091;0.0;5.116924043371028e-9;2.281295850334068e-9;3.5891335715113373e-6
73.0;6.649358746481262e-14;-10.573;-0.6017193466345534;0.0;0.0;-1.95301762684187e-6;0.0
74.0;6.001247746390536e-14;-10.258;-0.5751084682859269;0.0;-1.7577158641576829e-6;2.168177351736636e-6;0.0
75.0;5.748024719483225e-14;-10.116;-0.5543232003381144;0.0;1.9381952398357994e-7;4.5698558683290025e-7;-1.6315234804717203e-6
76.0;5.779897772874387e-14;-10.151;-0.5409745416679922;0.0;2.4178910373715923e-6;2.1751981049917325e-7;-1.0187833059377351e-7
77.0;6.141724530673875e-14;-10.379;-0.5362812908835384;1.8518562017217458e-5;2.7266152228213037e-6;6.898283361703217e-8;-1.1039139132686613e-8
78.0;7.460645654608219e-14;-10.953;-0.5461545147348517;8.958762330299435e-5;2.800692821701778e-6;1.099413762006861e-8;2.00878806115676e-8
79.0;9.203324627256807e-14;-11.438;-0.545727447731242;0.0002353417220637153;2.7879876089314827e-6;1.1570423512587528e-8;8.702944154171135e-7
80.0;9.16458085732843e-14;-11.457;-0.5180152037116326;0.00048411766293083365;1.8311283964240129e-6;1.1313959412632732e-8;9.609476438389278e-7
81.0;7.165484695134505e-14;-10.925;-0.46636944268732694;0.0008003273504548613;7.734082427902675e-7;1.212289711048098e-8;1.3727528972590061e-8
82.0;5.731283866052582e-14;-10.243;-0.4158920939682569;0.0010916325543374366;7.689886993958777e-7;1.1474930691117287e-7;-2.9483649223264267e-7
83.0;5.515554084360276e-14;-10.104;-0.3970022020974283;0.0012995231077328625;1.199782279226708e-6;4.967365261132362e-7;-1.2416042898421626e-6
84.0;5.6342518633377005e-14;-10.194;-0.39615297548196676;0.0014345746616197474;3.0262854965475416e-6;1.7423971979634754e-7;-5.519822837917395e-8
85.0;5.726978236291163e-14;-10.253;-0.40292118042569314;0.001510856267176109;3.244129980680346e-6;1.1713308983118501e-7;7.595427473570299e-7
86.0;5.71140936738607e-14;-10.23;-0.41509604496006786;0.0014956082597684362;2.505288962578091e-6;1.3111012521422452e-7;4.642494746070858e-7
87.0;5.58223352609903e-14;-10.12;-0.43178293410929025;0.0013483915560504327;2.1072047968112064e-6;3.6371953981109874e-7;-1.3588478996111413e-6
