Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
22.0;0.00893634082762146;0.0;0.0;5.205537301412805e-12;0.0;0.0;0.0;-0.23176585521848456;-0.16786944707274937;-0.4651103532951012;-13.772;0.0
23.0;0.008378206627193976;0.0;0.0;2.3563685068266436e-12;0.0;0.0;0.0;-0.2238471460698934;-0.14664229881154764;-0.4491241809891375;-12.903;0.0
24.0;0.007903925253899803;0.0;0.0;1.4951077235093886e-12;0.0;0.0;0.0;-0.21519682522093375;-0.12493445555303068;-0.43169016623574147;-12.174;0.0
25.0;0.006755787849254888;0.0;0.0;5.244552950022895e-13;0.0;0.0;0.0;-0.184661819964638;-0.07143621878834278;-0.37027475923893993;-10.439;0.0
26.0;0.006581316848988593;0.0;0.0;4.4355757452233227e-13;0.0;0.0;0.0;-0.176775833416405;-0.07041143295792467;-0.35443562348315705;-10.178;0.0
27.0;0.006518754554343463;0.0;0.0;4.182884632713723e-13;0.0;0.0;0.0;-0.17013134184422987;-0.07192772643852874;-0.34110561766732617;-10.094;0.0
28.0;0.006522524747681352;0.0;0.0;4.197609091412872e-13;0.0;0.0;0.0;-0.1637032054440968;-0.07642936352707583;-0.3282191803566302;-10.115;0.0
29.0;0.006700602274006532;0.0;0.0;4.970873958301991e-13;0.0;0.0;0.0;-0.1603019047841429;-0.08530889235687417;-0.3214214303898974;-10.408;0.0
30.0;0.007270121333930666;0.0;0.0;8.847606211877301e-13;0.0;0.0;0.0;-0.16470454675454685;-0.09981567736644717;-0.3303208604335001;-11.313;0.0
31.0;0.007818189540027278;0.0;0.0;1.3284423933634679e-12;0.0;0.0;0.0;-0.16723404179719248;-0.11082180279770362;-0.3354629159593672;-12.192;3.996740330652364e-6
32.0;0.007952221687305807;0.0;0.0;1.4020702197671375e-12;0.0;0.0;0.0;-0.16080852839767532;-0.10967936243704478;-0.3225798804643401;-12.432;5.2547776274766456e-5
33.0;0.007499551289746746;0.0;0.0;1.129780870880179e-12;0.0;0.0;0.0;-0.1441903258796118;-0.09633118033985869;-0.2891562917109995;-11.754;0.00020034190072554183
34.0;0.0067376366194711775;0.0;0.0;5.152666355618029e-13;0.0;0.0;0.0;-0.12440385792475396;-0.08002245211798181;-0.24934412637542186;-10.582;0.00042004758095514293
35.0;0.006127167058627215;0.0;0.0;2.952788334349409e-13;0.0;0.0;0.0;-0.1101743108875948;-0.06902320422132721;-0.2206991791518957;-9.636;0.0006609631282849103
36.0;0.0058282691954009746;0.0;0.0;2.318994705035374e-13;0.0;0.0;0.0;-0.10382363851722454;-0.06462035340701895;-0.2078913102262604;-9.17;0.0008544730712263726
37.0;0.005670567498808248;0.0;0.0;2.06023217948317e-13;0.0;0.0;0.0;-0.10194171837095707;-0.06402543000582794;-0.20406681672940444;-8.918;0.00098444367854636
38.0;0.005572130037170587;0.0;0.0;1.9199202742642793e-13;0.0;0.0;0.0;-0.10285935797053272;-0.06608431735948296;-0.2058544267043767;-8.752;0.0011195062958845347
39.0;0.005736316355575134;0.0;0.0;2.1626956007032981e-13;0.0;0.0;0.0;-0.11028236593951438;-0.07368958588891596;-0.22073653550001324;-8.991;0.0011404632678085028
40.0;0.006174136979872794;0.0;0.0;3.073131849006807e-13;0.0;0.0;0.0;-0.1248272916453022;-0.08801200209905649;-0.2499570351424574;-9.65;0.001040695566577351
41.0;0.006889803965711758;0.0;0.0;5.98683662779628e-13;0.0;0.0;0.0;-0.1471848243219295;-0.10987087104208693;-0.294894773979893;-10.733;0.0009099571833241194
42.0;0.007373553999829275;0.0;0.0;9.871382433185928e-13;0.0;0.0;0.0;-0.16654542878293527;-0.12986773279926447;-0.3338283972881563;-11.447;0.0007406382807100983
43.0;0.007892645686840458;0.0;0.0;1.3679076099585678e-12;0.0;0.0;0.0;-0.1879039034094728;-0.1487083561135374;-0.376795078908238;-12.214;0.0005470751231057512
44.0;0.008317436177745132;0.0;0.0;1.7616640396950856e-12;0.0;0.0;0.0;-0.20751353045536478;-0.160338687186977;-0.4162645424054214;-12.839;0.00030613355271027175
45.0;0.008373759515067174;0.0;0.0;1.937571860666301e-12;0.0;0.0;0.0;-0.21723883910173836;-0.15726915051655946;-0.4358357357270215;-12.905;0.00011400323499387931
46.0;0.007958138809058289;0.0;0.0;1.405587330407024e-12;0.0;0.0;0.0;-0.2126791752013488;-0.13929475571285915;-0.42664547351551646;-12.256;8.904761097223868e-6
47.0;0.007564405942227354;0.0;0.0;1.21177636204799e-12;0.0;0.0;0.0;-0.20599622541874535;-0.11957227674730664;-0.413180050217052;-11.651;0.0
