Timestep;Price;G_WindOffshore;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
65.0;0.02501743462891931;3.408536473689543;3.01646537905712;4.625115246056201;9.390195817580195e-12;1.1016594653376008;0.9341070711141396;-0.16228739370227852;-0.12113358501445558;-0.32543616721996477;-12.477;0.0004377481687071636
66.0;0.03983110346553428;3.469512188725928;3.4714620488275965;4.999999777612086;1.4487928148116834e-11;0.843481369988251;0.5296428448018499;-0.17414495680049258;-0.1360552736970347;-0.34990573437162403;-12.654;0.000239886117423995
67.0;0.03982346128676157;3.1930894237014944;4.585929685786086;4.999999773429989;1.445909197848228e-11;0.7199140349487712;0.20785713654714233;-0.18904766728769112;-0.14983927275938982;-0.3798921775600397;-12.988;8.97767478056133e-5
68.0;0.039819710104192045;3.6890243836914562;4.142009836041772;4.999999771233418;1.4444170282370478e-11;0.9166069649219262;0.038392849812763426;-0.19931353154737916;-0.15415940437587583;-0.40054023502783287;-13.032;1.57710044949216e-5
69.0;0.025017778428665927;4.195121838874277;3.317327899050763;4.92619564622363;9.390126865516596e-12;1.2329870641098217;0.0;-0.20612725744564006;-0.14898008772389318;-0.4134985266394666;-12.903;0.0
70.0;0.025015857809507987;4.319105578869556;2.7714040590453997;4.37993705450121;9.389913734851489e-12;1.5219077793199294;0.0;-0.20173316906059066;-0.13191022984457823;-0.4046849842333594;-12.254;0.0
71.0;0.025013703518562413;3.6463413535489955;2.4992359521818925;4.107463725412632;9.38905647991559e-12;1.9872253390416033;0.0;-0.19361563816566763;-0.11222266926923152;-0.38840173702543035;-11.546;0.0
72.0;0.0293288892827816;3.510162599775428;1.8359102260980558;3.444033659557604;0.0803365303824841;2.573125594799319;0.0;-0.17713197659522545;-0.06985707568504682;-0.36319511350065986;-10.873;0.0
73.0;0.039830417475238536;0.8353658531095957;5.035178925378257;4.999999981757145;4.367313672267365e-12;0.30294889905627115;0.0;-0.17677281732983668;-0.06847600093682672;-0.3552493683043854;-10.573;0.0
74.0;0.03980868264870495;0.906504063102368;4.596773955949578;4.999999981712058;4.364248557226492e-12;0.3286174790460931;0.0;-0.16837316577285563;-0.06716026614671411;-0.3383670033526558;-10.258;0.0
75.0;0.03975679289525637;1.3861788580865397;3.9224189884354916;4.999999981554522;4.353631036320957e-12;0.3605539640305867;0.0;-0.1611278417244668;-0.06821938510174785;-0.3238030684332448;-10.116;0.0
76.0;0.0397521461347127;1.3252032480864984;3.9441958905663155;4.999999981560973;4.354063094436124e-12;0.42144221402327686;0.0;-0.15525400127710745;-0.07258888337714153;-0.31199953701879973;-10.151;0.0
77.0;0.03975900347504075;1.3414634130907075;4.06075462958786;4.99999998159851;4.356581432418988e-12;0.46143743902152;0.05053571200689233;-0.15108104271129247;-0.08050441100497281;-0.30361026269028063;-10.379;1.8518562017217458e-5
78.0;0.03979734245266926;1.2621951181020976;4.544524531370818;4.999999981713099;4.364319434197279e-12;0.44711079402989673;0.24428571120817333;-0.15075489844864226;-0.09142996220560334;-0.302940322982861;-10.953;8.958762330299435e-5
79.0;0.039812004768525366;1.0406504031053672;4.819711472454134;4.999999981755129;4.367176771574771e-12;0.4820319940296356;0.6403571408968669;-0.1483573403134147;-0.09831534661538122;-0.2980888475659006;-11.438;0.0002353417220637153
80.0;0.039757260061642576;0.9552845530918883;4.121478706274831;4.999999981622769;4.358213342192103e-12;0.5867956040196105;1.3105357108200872;-0.14012381077320882;-0.09549843719785019;-0.2814812328826126;-11.457;0.00048411766293083365
81.0;0.025004865839109606;0.778455275889471;3.1161482408442103;4.7251259510935775;2.8127971292080352e-12;0.6282831818860367;2.1432142721756007;-0.12703248762655167;-0.08454692641641522;-0.2546402858441216;-10.925;0.0008003273504548613
82.0;0.025009758630307764;0.7540650308980952;2.400775947999408;4.0094486564079395;2.8123670087547673e-12;0.6288801268793622;2.8655357020065386;-0.11406590149502235;-0.07307331934542109;-0.2285557290035396;-10.243;0.0010916325543374366
83.0;0.02333483712113353;0.6382113680354712;2.1674736124963827;3.7762704045706474;2.6881616475247746e-12;0.6145534746781864;3.304285699452896;-0.109433904360575;-0.0682923737890798;-0.21915410509389208;-10.104;0.0012995231077328625
84.0;0.02350529356921199;0.52032519460725;2.1767665811243173;3.785520569296848;2.7376374719405907e-12;0.6148519506385738;3.492321415519808;-0.10930526101485209;-0.06782663784062028;-0.21887494626610443;-10.194;0.0014345746616197474
85.0;0.02504179016540764;0.2886178769903367;2.337210888557519;3.9459831377973624;2.8125842492601307e-12;0.5859001818910058;3.4980357019318875;-0.11096962988708416;-0.06954413944247186;-0.22221575505465332;-10.253;0.001510856267176109
86.0;0.024999588546760206;0.19105690192720234;2.503423157941452;4.1122256690360555;2.811757067015964e-12;0.536055386884273;3.3021428419447756;-0.11385323839708904;-0.07305119946270928;-0.22799416812087653;-10.23;0.0014956082597684362
87.0;0.02500086554791033;0.08943088890534748;2.7503275081528615;4.359325770902289;2.811795363709813e-12;0.4751671369243021;2.877321416995575;-0.1175778265074584;-0.0784919981313343;-0.2354988333358568;-10.12;0.0013483915560504327
88.0;0.0399995188479154;0.1402438982005499;3.488613131094068;4.999999982162368;4.3954063863305206e-12;0.3856255940648838;2.2317857108309;-0.13147632353780087;-0.09286410483956935;-0.26393860314138673;-10.758;0.0010589203848640396
89.0;0.03983602409318896;0.13008129816761566;5.680195442263177;4.9999999817965;4.36999934549009e-12;0.2659383940756831;1.4735714258320163;-0.1551534922970855;-0.11602641848792798;-0.3116158289802453;-11.967;0.0006905558943580248
90.0;0.039838880913520454;0.10162601325027797;6.893515324041278;4.999999981781311;4.368962079806245e-12;0.16117478419830816;0.7957142808739521;-0.16939485100189483;-0.1323150549605886;-0.34032631266399294;-12.31;0.00036039532791858444
91.0;0.03983638529666294;0.048780489127677906;7.75020554865089;4.999999981751522;4.3669328983650035e-12;0.09998805938330034;0.3317857110457805;-0.18247487395346615;-0.14461679253194087;-0.3666703297418577;-12.537;0.00014330343304320902
92.0;0.03983945908051114;0.056910568979670936;8.198087249757844;4.999999981735108;4.3658156747148125e-12;0.07790114447135894;0.08178571196001565;-0.19394100118720434;-0.15000091050178904;-0.38974129428302645;-12.681;3.359590941818151e-5
93.0;0.039844407022419516;0.05894308893672344;8.361523110366825;4.999999981731072;4.365541130058213e-12;0.06506685952765631;0.0005357118212780665;-0.2027435658035749;-0.1468821488981479;-0.40743924090839795;-12.729;2.1068820365587252e-7
94.0;0.03984868294184516;0.2012195082220741;7.735737197171849;4.999999981749927;4.366821736578383e-12;0.08178127945488005;0.0;-0.20156068918525524;-0.13211174309170987;-0.4050630413634996;-12.28;0.0
