scen_number;sensitivity;n_iter;walltime;PrimalResidual_EOM;DualResidual_EOM;rho_EOM
4;ref;50;1.2582064466666667;47.93480851359831;0.6217891739766618;0.001
4;ref;500;3.1926963466666667;0.08145957175028455;0.09061200724071695;0.001
4;ref;500;3.2668292033333333;0.08145957175028455;0.09061200724071695;0.001
4;ref;500;12.493891606666667;384.83966155598;0.00013160960368428632;0.001
4;ref;500;11.833426295;383.39208529961996;4813.551340932619;0.001
4;ref;500;13.052159223333335;383.39208529962053;4813.551340931103;0.001
1;ref;500;2.4612176083333335;0.07240474412695269;0.09302279805355568;0.001
4;ref;500;13.529096353333333;384.83966147283235;0.00032978079238691856;0.001
4;ref;500;14.218221483333334;384.8396614859017;0.0002977661033432196;0.001
4;ref;500;10.772560878333334;384.8396614859017;0.0002977661033432196;0.001
4;ref;500;8.416671755000001;0.00011612262173767966;8.695281177513256e-5;0.001
4;ref;500;10.909903895000001;384.8396614859017;0.0002977661033432196;0.001
4;ref;500;11.148323426666668;384.8396615771567;0.0001667839062094244;0.001
4;ref;50;1.1117896250000001;384.83966163079674;6.159974157921032e-8;0.001
1;ref;50;0.14613027833333334;40.825014791770236;0.5909974923765966;0.001
1;ref;50;0.13792748000000002;40.825014791770236;0.5909974923765966;0.001
1;ref;500;0.9782311133333333;8.706691058185014e-7;8.428156410093675e-7;0.001
4;ref;500;1.8550734483333333;8.708170549889609e-7;8.429483307769478e-7;0.001
4;ref;500;1.8228481333333335;8.708170549889609e-7;8.429483307769478e-7;0.001
4;ref;500;2.5266474983333334;0.06612631836900758;0.07808285534913983;0.001
4;ref;500;2.6070864866666668;0.4555739921322142;0.327040409529305;0.001
4;ref;500;2.7619797416666665;3.2178485945535495;6.540225217992426;0.001
4;ref;500;11.56307849;5.5956583825821244;6.914604063930354;0.001
4;ref;250;5.952550226666667;7.174282434815545;5.460861823959973;0.001
4;ref;250;4.846391008333334;0.0002255145529156114;0.0003404255456278756;0.001
4;ref;250;4.926185086666667;0.0005649961762236368;0.00014011198508220775;0.001
4;ref;250;4.880953570000001;0.0005649961762236368;0.00014011198508220775;0.001
4;ref;250;5.751131396666667;3.794781681191106;7.933274766276457;0.001
4;ref;250;0.6813862850000001;0.0005649961714071015;0.00014011198433751924;0.001
4;ref;250;0.660583905;0.007898533765034617;0.006340235803437253;0.1
4;ref;250;0.6766689066666667;0.007898533765034617;0.006340235803437253;0.1
4;ref;250;0.6532267633333333;0.007898538403784402;0.0063402439277066335;0.1
