Timestep;Price;G_WindOffshore;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
14.0;40.16614868161098;3.92371996;5.192155858211809;5.0;0.0;2.26530612;0.9631385450000001;-0.17041604724392936;-0.10618115736573702;-0.34072327379862133;-16.727;0.0004159945825116108
15.0;40.16057489667736;3.92894462;5.017904892331662;5.0;0.0;2.4;0.9945820449999999;-0.17499836131964877;-0.11155722632496387;-0.34987599974632316;-16.705;0.00045046661723524453
16.0;40.173860617296654;3.92894462;5.433085444310688;5.0;0.0;2.4938775499999997;0.684500775;-0.1844205666611646;-0.12223416999916456;-0.36875368188253704;-16.865;0.00032077579358937914
17.0;40.20215326971254;3.897596655;6.317263055242504;5.0;0.0;2.4938775499999997;0.284442725;-0.19903987016802102;-0.13909751676976845;-0.3980426116591966;-17.257;0.0001349601791087619
18.0;40.25374625200214;3.876698015;7.929575050367963;5.0;0.0;2.085714285;0.075464395;-0.22183077751302116;-0.16396923988001563;-0.44365172584811347;-18.138;3.536468047661067e-5
19.0;40.23399343630194;3.8662486950000003;7.312395541795571;5.0;0.0;2.204081635;0.0;-0.22741837207911206;-0.17547091656040228;-0.45483653298946747;-17.525;0.0
20.0;40.227541233741924;3.871473355;7.11071130198299;5.0;0.0;1.7551020400000001;0.0;-0.2313999575887933;-0.18108701150833414;-0.4627997040084899;-16.862;0.0
21.0;40.208633902280695;3.8662486950000003;6.519771025774033;5.0;0.0;1.4;0.0;-0.22957396028973723;-0.17529807031512953;-0.45914770941085387;-15.922;0.0
22.0;40.153139130198575;3.92894462;4.785618846118854;5.0;0.0;2.097959185;0.0;-0.2248931351257211;-0.1608433826735471;-0.4497861241428121;-14.977;0.0
23.0;40.11438401492445;3.902821315;3.5744706666415658;5.0;0.0;2.057142855;0.0;-0.21289388900339398;-0.13775345935043856;-0.425787501738354;-13.758;0.0
24.0;40.09527346732141;3.8349007299999998;2.9772948443767357;5.0;0.0;1.6;0.0;-0.2001353459202085;-0.1147915370727355;-0.40026869188353603;-12.697;0.0
25.0;40.09330259141561;2.89446186;2.915703887932086;5.0;0.0;0.359183675;0.0;-0.16714405833088344;-0.06391836010605359;-0.3342870055320351;-10.604;0.0
26.0;40.103457964500265;2.419017765;3.2330624154153145;5.0;0.0;0.22040816500000002;0.0;-0.15984816266426138;-0.06294385695910917;-0.31969632528427655;-10.33;0.0
27.0;40.10641108789705;2.199582025;3.325345026243984;5.0;0.0;0.2122449;0.0;-0.15335749867129345;-0.06409966711697403;-0.3067147861841138;-10.213;0.0
28.0;40.114049321103685;1.96447231;3.5639927038047423;5.0;0.0;0.21632653000000002;0.0;-0.1475606777313004;-0.06810974590153995;-0.2951211442874874;-10.234;0.0
29.0;40.136601916099394;1.6248693850000002;4.268794837644001;5.0;0.0;0.33877551;0.0;-0.14703003462748584;-0.07734984727982179;-0.2940598580852397;-10.714;0.0
30.0;40.195784082983366;1.29049112;6.11829140912788;5.0;0.0;0.16734694;0.0;-0.15591628554018885;-0.09338080428216576;-0.31183235991059527;-12.015;0.0
31.0;40.28315066192722;0.318704285;8.848508956793529;5.0;0.0;0.130612245;0.0009674900000000001;-0.16739794074242104;-0.10959942473615887;-0.3347955861365571;-13.687;3.555683956324466e-7
32.0;40.31506047363901;0.28213166;9.845652860733606;5.0;0.0;0.102040815;0.08997678;-0.1695249849717139;-0.11423526219977431;-0.33904186225265054;-14.697;3.323781866688141e-5
33.0;40.315517947230134;0.12016719000000001;9.859898085655109;5.0;0.0;0.12244898000000001;0.391834365;-0.1629322609256699;-0.10758708594013731;-0.3258292926226228;-14.898;0.0001463203009388364
34.0;40.27979195220639;0.39707419;8.743532609683868;5.0;0.0;0.17142857;0.8233359149999999;-0.15275185821994425;-0.09719196472693066;-0.30542744472543387;-14.58;0.0003136517486990039
35.0;40.260381275192564;0.49634274;8.136899908855225;5.0;0.0;0.195918365;1.2490325100000002;-0.14814155283751904;-0.0918906319373881;-0.29616134659364873;-14.542;0.0004912246546012071
36.0;40.23063870125317;0.731452455;7.207406444906892;5.0;0.0;0.375510205;1.5828173349999999;-0.14498513978153932;-0.0893963646453165;-0.2898049617573935;-14.373;0.0006501891902783688
37.0;40.246373785113576;0.350052245;7.699269994763664;5.0;0.0;0.14693877500000002;1.791795665;-0.1472146552736534;-0.09161493480726846;-0.2942270453022403;-14.455;0.0007739045368678386
38.0;40.23671034389512;0.25600836;7.397152913926847;5.0;0.0;0.38367347;1.8895123850000002;-0.1505690543282638;-0.09586914844608926;-0.30090894865675133;-14.379;0.0008557989323998394
39.0;40.23715450724693;0.26123302000000004;7.410932262672796;5.0;0.0;0.32653060999999994;1.88273994;-0.15638749785713785;-0.10351357995702365;-0.3125348275589622;-14.309;0.000882303454478806
40.0;40.25356260372859;0.203761755;7.923867205399294;5.0;0.0;0.31020408;1.68005031;-0.16714752801394886;-0.11665901154866111;-0.3340767929777472;-14.5;0.0007971372470479987
41.0;40.277298726446375;0.12016719000000001;8.66570448903117;5.0;0.0;0.457142855;1.2959558800000002;-0.1816616812147146;-0.13415069301975086;-0.36315798045696723;-14.86;0.0006073203874222381
42.0;40.2626479865386;0.12016719000000001;8.207789008048115;5.0;0.0;0.96734694;0.918150155;-0.18815987863820716;-0.1450850992868869;-0.3762082954975666;-14.504;0.00041584904585409584
43.0;40.27631196487059;0.18808777499999998;8.634653386779128;5.0;0.0;0.42857143;0.600328945;-0.19372351016298756;-0.15153896186131552;-0.3873791123130479;-14.119;0.0002592914489212045
44.0;40.28744089875602;0.21421107500000003;8.982614240193982;5.0;0.0;0.236734695;0.314434985;-0.20168630972696258;-0.15396903358515573;-0.40333960898243426;-13.989;0.00012916350091170888
45.0;40.27940338434811;0.40229885;8.731307719324573;5.0;0.0;0.2122449;0.10255418000000001;-0.2054876798008337;-0.1469528250844316;-0.41096516851055764;-13.685;4.033293068441431e-5
46.0;40.24766035725918;0.39707419;7.739392999977632;5.0;0.0;0.297959185;0.00870743;-0.19690853694723037;-0.12740913930142006;-0.39381612670987787;-12.725;3.3171158896598936e-6
47.0;40.21198025123371;0.553814;6.624359463515745;5.0;0.0;0.38367347;0.0;-0.18744501092980884;-0.10751219042965802;-0.37488974226614163;-11.892;0.0
48.0;40.16992680582361;0.700104495;5.310211698795194;5.0;0.0;0.591836735;0.0;-0.1746579940458568;-0.06618094710283462;-0.34931398813334424;-11.012;0.0
49.0;40.03336882111461;3.124346915;1.0427734452219308;5.0;0.0;1.04897959;0.0;-0.15287921796254836;-0.05846340855624641;-0.30575732480032264;-9.699;0.0
50.0;40.013432266993505;3.18704284;0.41991738518107385;5.0;0.0;1.35510204;0.0;-0.14646300674511703;-0.057673165397818284;-0.29292601344370944;-9.465;0.0
51.0;40.011718887297924;3.03552769;0.3658421297747765;5.0;0.0;1.395918365;0.0;-0.13993329275024885;-0.05848870437343032;-0.2798663743456876;-9.319;0.0
52.0;40.021118439963125;2.75862069;0.6599947616608766;5.0;0.0;1.285714285;0.0;-0.1332717953421899;-0.06151454012256683;-0.2665433795106064;-9.243;0.0
53.0;40.01887228011581;2.7481713699999997;0.5896950244262603;5.0;0.0;1.224489795;0.0;-0.12516905751491567;-0.06584925956372349;-0.25033790386172194;-9.121;0.0
54.0;40.01844505030023;2.64367816;0.5763325575588856;5.0;0.0;1.3224489799999999;0.00241873;-0.11833541070927292;-0.0708726536668149;-0.2366704005632028;-9.119;8.870280118984917e-7
55.0;40.05143610451512;2.152560085;1.6073362355492102;5.0;0.0;1.04489796;0.095781735;-0.1159037437748392;-0.07587335021216729;-0.231798942744084;-9.477;3.520135385879146e-5
56.0;40.08294574860848;1.84430512;2.592072491375888;5.0;0.0;0.5306122449999999;0.36909829499999997;-0.11436428343433547;-0.07702789644731052;-0.22869596298398953;-9.916;0.00013634653517791037
57.0;40.0893276229967;1.6875653099999999;2.79158648377954;5.0;0.0;0.514285715;0.8184984500000001;-0.11367175952835275;-0.07499399128520409;-0.22727015905548165;-10.396;0.0003056468503521153
58.0;40.086167273093025;1.3061650999999999;2.6927709454071653;5.0;0.0;0.48979592000000005;1.5063854500000002;-0.11092845371400492;-0.07047140462729395;-0.22171753495765406;-10.592;0.0005738610717683024
59.0;40.041868059691744;1.54649948;1.3086752474303565;5.0;0.0;0.8081632649999999;2.24506579;-0.10711380768334734;-0.06628089553992908;-0.214008928816002;-10.521;0.0008829487290524856
60.0;40.32543477319329;1.7920585150000001;0.080163833441035;5.0;0.0;1.036734695;2.90392802;-0.10520006412957077;-0.0646586702134878;-0.2100970027237775;-10.438;0.0011928746079537139
61.0;10.034102749513067;1.7920585150000001;0.0;4.262806528040345;0.0;1.13469388;3.3867066550000002;-0.10377087112284146;-0.064335086326987;-0.2071596251898183;-10.201;0.0014627715071210434
62.0;10.031087096040828;1.891327065;0.0;3.8862088894490725;0.0;1.15102041;3.6358359150000004;-0.10643928818443275;-0.06751513340696115;-0.21243781747649843;-10.178;0.0016467446941015914
63.0;10.028075832257073;2.61755486;0.0;3.510745297860642;0.0;1.040816325;3.6406733749999995;-0.11346529962023927;-0.07485792831257541;-0.2264664744558706;-10.395;0.0017061191655558727
64.0;10.030969742829717;2.99895507;0.0;3.8696053798244776;0.0;1.0122449;3.42008514;-0.1248157834226408;-0.08688642122141264;-0.24918848404454239;-10.84;0.0016227354841352156
65.0;40.01345668245447;2.978056425;0.42027069408904516;5.0;0.0;0.8;2.96633127;-0.14210088743486365;-0.10473510860625135;-0.28382251473383807;-11.634;0.0013901040027065575
66.0;40.049334647669085;3.04597701;1.5421427155241334;5.0;0.0;0.7102040799999999;2.29005418;-0.15560873295141667;-0.11982915571964015;-0.31093988344439555;-12.002;0.0010372125305660748
67.0;40.07292287196087;3.1400209;2.2788080485988864;5.0;0.0;0.702040815;1.551857585;-0.16524919890415565;-0.1291549563939532;-0.3303232085976452;-12.048;0.0006702715321081366
68.0;40.101581521122434;3.202716825;3.1744532195447013;5.0;0.0;0.518367345;0.92395511;-0.17528280834470295;-0.13374064995414536;-0.3504690260353192;-12.16;0.00037954197969689366
