Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
33.0;0.03462651721368347;0.12016719000000001;9.857464017930976;5.0;0.0;0.12244898000000001;0.391834365;-0.1616294023908234;-0.10741463989602978;-0.3247870624128299;-14.898;0.0001463203009388364
34.0;0.02554976557577677;0.39707419;8.741408881038296;5.0;0.0;0.17142857;0.8233359149999999;-0.15153423625739357;-0.09703660710524296;-0.30445334189119233;-14.58;0.0003136517486990039
35.0;0.02543393199475373;0.49634274;8.134852313540646;5.0;0.0;0.195918365;1.2490325100000002;-0.14696061252813167;-0.09174360060654271;-0.29521660442877845;-14.542;0.0004912246546012071
36.0;0.025699502646820062;0.731452455;7.205403564981008;5.0;0.0;0.375510205;1.5828173349999999;-0.14382911574888735;-0.0892532939829775;-0.2888801671048636;-14.373;0.0006501891902783688
37.0;0.02551460788849197;0.350052245;7.697234053895952;5.0;0.0;0.14693877500000002;1.791795665;-0.14604075174781234;-0.09146818398829192;-0.2932879485187648;-14.455;0.0007739045368678386
38.0;0.025777976996555672;0.25600836;7.39505764813554;5.0;0.0;0.38367347;1.8895123850000002;-0.14936815064718825;-0.09571564187124156;-0.29994825299233463;-14.379;0.0008557989323998394
39.0;0.025969383312754495;0.26123302000000004;7.408738095367425;5.0;0.0;0.32653060999999994;1.88273994;-0.15513999221851404;-0.10334790744129635;-0.31153685438098194;-14.309;0.000882303454478806
40.0;0.02610339491200664;0.203761755;7.921495235215166;5.0;0.0;0.31020408;1.68005031;-0.16581406468666665;-0.11647231977639734;-0.33301006330572785;-14.5;0.0007971372470479987
41.0;0.026486845958688783;0.12016719000000001;8.663089971013036;5.0;0.0;0.457142855;1.2959558800000002;-0.18021220742986865;-0.13393609622979935;-0.36199845876081405;-14.86;0.0006073203874222381
42.0;0.02676599543420026;0.12016719000000001;8.205059585047088;5.0;0.0;0.96734694;0.918150155;-0.1866585238922444;-0.14485320224583162;-0.3750072737756454;-14.504;0.00041584904585409584
43.0;0.026893340704325253;0.18808777499999998;8.631831983349324;5.0;0.0;0.42857143;0.600328945;-0.1921777480994516;-0.15129686743030696;-0.38614256749500847;-14.119;0.0002592914489212045
44.0;0.027193826743989992;0.21421107500000003;8.979669670666686;5.0;0.0;0.236734695;0.314434985;-0.20007687264238497;-0.15372303703805232;-0.402052145657114;-13.989;0.00012916350091170888
45.0;0.027235953832498244;0.40229885;8.728319821713054;5.0;0.0;0.2122449;0.10255418000000001;-0.20384818171772642;-0.14671819988251422;-0.40965363620243755;-13.685;4.033293068441431e-5
46.0;0.027093209308073088;0.39707419;7.7365616610644405;5.0;0.0;0.297959185;0.00870743;-0.19533762918605904;-0.12720554126412323;-0.3925594384573323;-12.725;3.3171158896598936e-6
47.0;0.02745931989570656;0.553814;6.62168639484556;5.0;0.0;0.38367347;0.0;-0.18594863793923752;-0.10733852464253404;-0.3736925787547839;-11.892;0.0
48.0;0.02882510413486851;0.700104495;5.307761342721605;5.0;0.0;0.591836735;0.0;-0.1732615959790689;-0.0660715773965504;-0.34819646004488175;-11.012;0.0
49.0;0.0486006977083586;3.124346915;1.040333792996624;5.0;0.0;1.04897959;0.0;-0.1516505784818483;-0.05836764960465382;-0.3047744335110928;-9.699;0.0
50.0;0.05288295968149647;3.18704284;0.41750802745183063;5.0;0.0;1.35510204;0.0;-0.14528644050222742;-0.05758035487152548;-0.2919847706856773;-9.465;0.0
51.0;0.05291386088254253;3.03552769;0.3635251765153753;5.0;0.0;1.395918365;0.0;-0.13880912784494961;-0.05839430381628527;-0.27896693894852653;-9.319;0.0
52.0;0.05177347468128959;2.75862069;0.6577863758476327;5.0;0.0;1.285714285;0.0;-0.13220089940019222;-0.06141529753233248;-0.2656864898281189;-9.243;0.0
53.0;0.05237213845837027;2.7481713699999997;0.5875869203930454;5.0;0.0;1.224489795;0.0;-0.12416273907177691;-0.06574310020887907;-0.24953279998322622;-9.121;0.0
54.0;0.05252275769822463;2.64367816;0.5743127899555905;5.0;0.0;1.3224489799999999;0.00241873;-0.11738387916666859;-0.0707584422982169;-0.2359091883065821;-9.119;8.870280118984917e-7
55.0;0.043865586894597935;2.152560085;1.605482028929526;5.0;0.0;1.04489796;0.095781735;-0.11497431286927368;-0.07575130680285605;-0.2310553734500487;-9.477;3.520135385879146e-5
56.0;0.03737363731625701;1.84430512;2.5903424617760136;5.0;0.0;0.5306122449999999;0.36909829499999997;-0.11344923426373033;-0.07690410132455641;-0.22796387895590642;-9.916;0.00013634653517791037
57.0;0.03628787468353665;1.6875653099999999;2.7898867287900635;5.0;0.0;0.514285715;0.8184984500000001;-0.11276246164829504;-0.07487339038531605;-0.22654271359644312;-10.396;0.0003056468503521153
58.0;0.03674788359000954;1.3061650999999999;2.691109949808926;5.0;0.0;0.48979592000000005;1.5063854500000002;-0.11004066633787095;-0.07035794147669325;-0.22100727002223297;-10.592;0.0005738610717683024
