Timestep;total_gen;total_demand;total_cons;PV_cons;tot_SOC;tot_charging;tot_discharging
47.0;13.804443041512616;-12.952;-0.8524749168865621;0.0;1.5383634459938334e-5;4.733502089400098e-6;5.066715247073701e-6
48.0;13.177509483809708;-12.347;-0.830517421043945;0.0;1.4051398471780387e-5;5.376227763548955e-6;4.4249602339542724e-6
49.0;10.772924674108001;-10.096;-0.6769549417605484;0.0;0.0;8.028024531099281e-6;0.0
50.0;10.548448580924067;-9.897;-0.651476795311507;0.0;7.225222077989354e-6;6.790505380786481e-6;0.0
51.0;10.477017888948923;-9.848;-0.6290445561570859;0.0;1.3335954398489388e-5;5.804638890812226e-6;2.9562683042791594e-6
52.0;10.517797494966366;-9.91;-0.6078221902454223;0.0;1.5202875783472331e-5;5.616567051143478e-6;3.8018921157688555e-6
53.0;10.858902100764617;-10.26;-0.5989258802226716;6.261446306549794e-6;1.6033730759826725e-5;5.4724376987856456e-6;4.189664708499824e-6
54.0;11.615569129362965;-11.008;-0.607593708596851;5.600998974434072e-5;1.6340972408901203e-5;5.399369271698886e-6;4.345811226848107e-6
55.0;12.614640896018582;-11.991;-0.6236669675810141;0.0001785653888692629;1.6408925617934597e-5;5.364183473013944e-6;4.3820673417976526e-6
56.0;13.245160779897398;-12.626;-0.6191864606248947;0.00034015518261073694;1.6404920240664477e-5;5.340822599431374e-6;4.388868733403671e-6
57.0;12.687539304647013;-12.124;-0.5635597442999889;0.0005206095109715123;1.6372333375923308e-5;5.311606699961639e-6;4.4016030416198535e-6
58.0;11.787310543544992;-11.285;-0.5023312115884369;0.000702606527157517;1.6299306228994542e-5;5.255249003206805e-6;4.444040254599291e-6
59.0;11.20051714610231;-10.736;-0.46453520428185896;0.0008611736615620536;1.6128411998835078e-5;5.177377450331103e-6;4.507171067860545e-6
60.0;11.216266081314277;-10.754;-0.4622685219230777;0.0009552918300265473;1.581730511244243e-5;5.574025165308335e-6;4.202656082659269e-6
61.0;11.550514308168083;-11.07;-0.4805168573792878;0.0009703737026540221;1.6201562263774903e-5;5.527435289928285e-6;4.21041275142501e-6
62.0;11.52972408780501;-11.037;-0.49272668245400625;0.000901491468211743;1.6535231580699377e-5;5.573291554477925e-6;4.2062036997673615e-6
63.0;11.60832244846119;-11.093;-0.5153439724930938;0.0007584924391157803;1.6914814892850885e-5;5.189980473237673e-6;4.5101715708039414e-6
64.0;12.242027959459332;-11.67;-0.5720492154108988;0.0005580459128059068;1.6611638194625426e-5;5.279962493672365e-6;4.458313656205247e-6
