Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeD;G_TypeB;Demand;Total_PV
24.0;0.04003597594426592;3.8349004168637624;3.058418314989369;4.999998161020337;0.0;1.599999891903257;0.0;-0.19852856569004376;-0.1998125988870972;-0.19852552236845508;-0.19947246389056006;-12.697;0.0
25.0;0.04003798519907959;2.894461585113509;3.015407768754959;4.999998241539332;0.0;0.3591835886882815;0.0;-0.16580776428534957;-0.166880654837334;-0.165798965408675;-0.16658732919932107;-10.604;0.0
26.0;0.04003543710595594;2.4190175037156214;3.3266071332154525;4.99999824090704;0.0;0.22040807869293846;0.0;-0.1585707539692819;-0.1595973152244238;-0.15856260166667488;-0.1593198621192424;-10.33;0.0
27.0;0.04003568609136246;2.19958176945192;3.411374647692653;4.9999982410125385;0.0;0.21224481385617902;0.0;-0.15213058485298714;-0.15311597810782077;-0.1521235260375735;-0.1528496251473232;-10.213;0.0
28.0;0.04003611461479338;1.9644720609553221;3.640335585285927;4.999998241088043;0.0;0.21632644377618054;0.0;-0.1463804324056018;-0.14732817857022176;-0.1463729433938498;-0.1470712555943392;-10.234;0.0
29.0;0.04003625273623999;1.6248691458268145;4.335379256336319;4.999998241134694;0.0;0.3387754234788199;0.0;-0.14585506648217253;-0.14679914523359724;-0.14584652635629722;-0.14654229812496883;-10.714;0.0
30.0;0.20000406415588048;1.2904911057678161;4.999999635492164;4.999999928474413;1.1646019874457352;0.16734693366017825;0.0;-0.14967762783941563;-0.15466637069288464;-0.1496786586460519;-0.1534194652195918;-12.015;0.0
31.0;0.20000470524766342;0.3187042714398001;4.999999635498212;4.999999928475345;3.888889037872024;0.13061223894088933;0.0009674678432418099;-0.1607008775536019;-0.16605734209265394;-0.1607010468953578;-0.1647169494492603;-13.687;2.525338747589359e-7
32.0;0.20000483305963956;0.28213164687675363;4.999999635499066;4.999999928475476;4.883303388008825;0.10204080916395152;0.08997675229695444;-0.1627469274251219;-0.16816025951978142;-0.16274675217800996;-0.16680208863285287;-14.697;2.3689562000257695e-5
33.0;0.20000437213603706;0.1201671799292026;4.99999963549477;4.999999928474814;4.8982899169299285;0.12244897399511383;0.39183433291460457;-0.15643113956147964;-0.16159340002228967;-0.1564307877083751;-0.1602878836852705;-14.898;0.00010505417542660368
34.0;0.20000455714968993;0.39707417632446407;4.999999635495855;4.999999928474982;3.7831958999358903;0.17142856365088335;0.82333588179454;-0.14667777008024388;-0.15145340175368618;-0.14667729814586764;-0.15022899142238066;-14.58;0.0002281816337388047
35.0;0.20000464176173596;0.49634272633746945;4.9999996354963825;4.999999928475063;3.1777314516150206;0.19591835863558899;1.2490324729696758;-0.1422737813988299;-0.14683439400801745;-0.14227323550018836;-0.14564659842972372;-14.542;0.0003646437337214485
36.0;0.20000469673007668;0.7314524414662457;4.999999635496741;4.999999928475118;2.2479019121626176;0.3755101986843736;1.5828172953082569;-0.13926458196178126;-0.1436595424010396;-0.1392639841657612;-0.14249677931777538;-14.373;0.0004953199080340426
37.0;0.20000466760116953;0.350052231332723;4.999999635496585;4.999999928475094;2.7395426214278826;0.14693876881625206;1.7917956235938401;-0.14142267499406708;-0.14583414734624667;-0.141422055516994;-0.14465338044981288;-14.455;0.0006061622245414063
38.0;0.20000461941379485;0.25600834727385663;4.9999996354963185;4.999999928475053;2.436175598194161;0.3836734636915579;1.889512342804673;-0.14465582076820255;-0.14913471721834404;-0.14465519025164736;-0.14792700010830673;-14.379;0.0006868464895798073
39.0;0.20000453401076793;0.26123300718926196;4.999999635495852;4.999999928474981;2.4475233792438567;0.32653060364812536;1.8827398978589667;-0.15024681244758487;-0.15489556072356814;-0.1502461822363034;-0.15364125349884705;-14.309;0.0007198709561745673
40.0;0.20000500955173203;0.20376174325158034;4.9999996355003535;4.999999928475675;2.956953749956216;0.31020407364074637;1.68005026950783;-0.16056587938768452;-0.1655914882896277;-0.16056526271378868;-0.16425082612289543;-14.5;0.0006541556406575984
41.0;0.20000477517505366;0.12016717992929654;4.999999635499119;4.999999928475485;3.6943068222046764;0.457142848765762;1.2959558426380717;-0.174474055995094;-0.18004260234336025;-0.17447345765845998;-0.17858608360238618;-14.86;0.0004955124065066857
42.0;0.2000046678084603;0.12016717992928634;4.999999635498595;4.999999928475405;3.2312821524081685;0.9673469336584524;0.9181501209774431;-0.18068644015651367;-0.18654291439787427;-0.1806858391967115;-0.18503466967352267;-14.504;0.0003337518271249151
43.0;0.2000045686088258;0.18808776355744153;4.9999996354981056;4.999999928475329;3.6566799680689663;0.42857142373493584;0.6003289127563343;-0.18600662332108947;-0.19210569436937006;-0.1860060137648509;-0.1905531900294224;-14.119;0.00020309052860544542
44.0;0.20000441923501755;0.21421106303796292;4.999999635497341;4.999999928475211;4.009347049599083;0.23673468862761338;0.31443495334955857;-0.19363416395621283;-0.20003967881256243;-0.19363354141093522;-0.1984237665543478;-13.989;9.839790379405063e-5
45.0;0.20000426557819231;0.4022988363242498;4.99999963549656;4.9999999284750904;3.7684637528102525;0.21224489363138402;0.10255415201964858;-0.19727252849963833;-0.2038331491748446;-0.19727190233902392;-0.20218731984000335;-13.685;2.993976442129717e-5
46.0;0.2000040049550449;0.3970741763244938;4.9999996354962715;4.999999928475046;2.7884045758755907;0.2979591786357193;0.008707406207370857;-0.18903160815369358;-0.19533051390207903;-0.18903161160909007;-0.1937547607640437;-12.725;2.4132016675918726e-6
47.0;0.200004788748156;0.5538139863595436;4.9999996354960174;4.999999928475007;1.6847814920626376;0.3836734636915545;0.0;-0.17994166498708422;-0.18594031816894976;-0.17994610671498104;-0.18444331558475194;-11.892;0.0
48.0;0.20000497659402383;0.700104481446703;4.999999635496959;4.999999928475152;0.400502756387063;0.5918367289195103;0.0;-0.16766450357647036;-0.17325384194907661;-0.16766893100548602;-0.17185917979294948;-11.012;0.0
49.0;0.04003810197023367;3.124346613660053;1.1339694738503228;4.999998112193763;0.0;1.0489794948624847;0.0;-0.15165729815979553;-0.1526385286565105;-0.15164772458691203;-0.15237108878526548;-9.699;0.0
50.0;0.040038760513629666;3.187042536912497;0.5056220542209054;4.9999981123034285;0.0;1.3551019364521346;0.0;-0.14529265535740707;-0.14623320812627563;-0.14528377765177516;-0.14597635731072325;-9.465;0.0
51.0;0.04003876059262693;3.0355273912473613;0.4443331086719349;4.9999981123873765;0.0;1.3959182602552167;0.0;-0.13881356215479929;-0.13971225565200168;-0.13880591580885934;-0.13946718728405247;-9.319;0.0
52.0;0.040039294818523904;2.758620399753553;0.7289351381042997;4.999998112482325;0.0;1.285714183467671;0.0;-0.13220510613168085;-0.1330606745971353;-0.13219749635974667;-0.13282683102568035;-9.243;0.0
53.0;0.040039996626003105;2.748171080106261;0.6463649983314915;4.999998112612861;0.0;1.2244896952053892;0.0;-0.12416713482395175;-0.12497044411478155;-0.12415928412028922;-0.12474976298401103;-9.121;0.0
54.0;0.040040661105483426;2.6436778735478184;0.6212864819754812;4.9999981127414515;0.0;1.3224488774201342;0.0024185951946156577;-0.11738832545144463;-0.11814725016538442;-0.11738009534665024;-0.11793751094946262;-9.119;6.2906221427819e-7
55.0;0.04004094270456773;2.1525598122953418;1.6449077447936988;4.9999981127958915;0.0;1.044897864987252;0.09578153643314269;-0.11498016474392703;-0.11571122186840248;-0.11497178195009183;-0.11550538388123553;-9.477;2.5000912330549755e-5
56.0;0.04004115447005362;1.844304856505376;2.6269813820685224;4.99999811283542;0.0;0.5306121553241885;0.369098040599377;-0.11346496339457066;-0.11415007995198;-0.11345648498166616;-0.11394668310818863;-9.916;9.717814911349245e-5
57.0;0.04004127805908115;1.6875650513632132;2.8278504044538773;4.9999981128550495;0.0;0.5142856249942072;0.8184981785273897;-0.11279814335819158;-0.11341780857975975;-0.11278967721542857;-0.1132155225806203;-10.396;0.00021944649942253836
58.0;0.04004159895290464;1.306164853268063;2.730869635266266;4.9999981129118405;0.0;0.48979582949231876;1.5063851054957478;-0.11010930085966263;-0.11061267981639751;-0.11010090092040606;-0.11041474737704313;-10.592;0.0004174839051219629
59.0;0.040042177709811284;1.5464992257962422;1.3472263958361788;4.999998112985891;0.0;0.8081631754365185;2.245065374113047;-0.10636374223806914;-0.1067244410891195;-0.10635587329063279;-0.10653267231175163;-10.521;0.0006554266326629827
60.0;0.04004315045455785;1.7920582531363805;0.12353208754419086;4.999998113050056;0.0;1.0367346001999804;2.9039275513298235;-0.10450630610477414;-0.10472883110093885;-0.10449918519585019;-0.10454037226221209;-10.438;0.0009087424859444565
61.0;0.010072201029404796;1.7920554536959348;0.0;4.301547162806951;0.0;1.1346927433736187;3.386702740761087;-0.10375561088160248;-0.10334392308412686;-0.10370309020026774;-0.10324086113583145;-10.201;0.0011457186106452522
62.0;0.010072645156978246;1.8913239675314164;0.0;3.9244236260560226;0.0;1.1510192682892302;3.6358318990892866;-0.10644727043442692;-0.1059523585815799;-0.10639609961364772;-0.10584812778338257;-10.178;0.0013216431682219097
